# Array definition for CST antenna array tools
# unit: meters
# Element	X 	Y 	Z 	Magnitude	Phase	Phi	Theta	Gamma
219	0.127639000000000	0.156644500000000	0	0.00484752378414156	-163.743859643686	0	0	0
220	0.135894600000000	0.156644500000000	0	0.00304619155412158	-110.060389877890	0	0	0
221	0.148928000000000	0.156644500000000	0	0.00311925722417443	50.8197065432972	0	0	0
222	0.156644500000000	0.156644500000000	0	0.00229284480055704	102.412894157359	0	0	0
223	0.178701100000000	0.156644500000000	0	0.000698572923969088	-50.7912371384203	0	0	0
224	0.191893100000000	0.156644500000000	0	0.000159627456975856	108.198799078258	0	0	0
225	0	0.178701100000000	0	0.000250929061623188	-3.97378894440051	0	0	0
226	0.0145838000000000	0.178701100000000	0	0.00111170953200757	133.934267650212	0	0	0
227	0.0208875000000000	0.178701100000000	0	0.00106847870496486	-142.084241451406	0	0	0
228	0.0291431000000000	0.178701100000000	0	0.000970082632443897	-79.9609328879513	0	0	0
229	0.0421765000000000	0.178701100000000	0	0.00151032338945012	73.6974678177766	0	0	0
230	0.0498930000000000	0.178701100000000	0	0.00119485545315409	129.388127468048	0	0	0
231	0.0719496000000000	0.178701100000000	0	0.00171552959326265	-22.6512829682722	0	0	0
232	0.0851416000000000	0.178701100000000	0	0.00199616153973548	131.399923368277	0	0	0
233	0.106751500000000	0.178701100000000	0	0.000935772697360754	-15.6414978863457	0	0	0
234	0.121335300000000	0.178701100000000	0	0.00215896873052781	113.738418528760	0	0	0
235	0.127639000000000	0.178701100000000	0	0.00144371178636385	-163.743785395987	0	0	0
236	0.135894600000000	0.178701100000000	0	0.000907230752450272	-110.060315630191	0	0	0
237	0.148928000000000	0.178701100000000	0	0.000928991505719593	50.8197807909959	0	0	0
238	0.156644500000000	0.178701100000000	0	0.000682865564001243	102.412968405057	0	0	0
239	0.178701100000000	0.178701100000000	0	0.000208052195074981	-50.7911628907216	0	0	0
240	0.191893100000000	0.178701100000000	0	4.75409820199867e-05	108.198873325957	0	0	0
241	0	0.191893100000000	0	9.42777977297864e-05	-3.97302645748621	0	0	0
242	0.0145838000000000	0.191893100000000	0	0.000417685881877940	133.935030137127	0	0	0
243	0.0208875000000000	0.191893100000000	0	0.000401443414220907	-142.083478964492	0	0	0
244	0.0291431000000000	0.191893100000000	0	0.000364474539581480	-79.9601704010370	0	0	0
245	0.0421765000000000	0.191893100000000	0	0.000567451064042022	73.6982303046909	0	0	0
246	0.0498930000000000	0.191893100000000	0	0.000448925046784552	129.388889954962	0	0	0
247	0.0719496000000000	0.191893100000000	0	0.000644550100920365	-22.6505204813579	0	0	0
248	0.0851416000000000	0.191893100000000	0	0.000749987716296347	131.400685855191	0	0	0
249	0.106751500000000	0.191893100000000	0	0.000351583784325925	-15.6407353994314	0	0	0
250	0.121335300000000	0.191893100000000	0	0.000811156810474539	113.739181015674	0	0	0
251	0.127639000000000	0.191893100000000	0	0.000542424089479565	-163.743022909073	0	0	0
252	0.135894600000000	0.191893100000000	0	0.000340860149161155	-110.059553143276	0	0	0
253	0.148928000000000	0.191893100000000	0	0.000349035989304588	50.8205432779102	0	0	0
254	0.156644500000000	0.191893100000000	0	0.000256562795489275	102.413730891972	0	0	0
255	0.178701100000000	0.191893100000000	0	7.81683183192702e-05	-50.7904004038073	0	0	0
256	0.191893100000000	0.191893100000000	0	1.78618572825426e-05	108.199635812871	0	0	0
